depth_m,d13C_pl,d18O_pl,age,aragonite,lmc,hmc,int_thick,int_time,sed_rates,ratio_ara-hmc,ratio_lmc-hmc,ratio_lmc-ara,ratio_hmc-ara,ratio_hmc-lmc,ratio_lmc-hmc+ara,d13C_bulk,d18O_bulk,coarse,fine,ratio-fine-coarse,L*,a*,b*,mean,sorting,skewness,kurtosis,sand,mud,ratio-mud-sand,median
0.96,1.003,-1.537,53.52058438,50.76,36.35,12.89,5,1.52058438,3.288209497,3.937936385,2.820015516,0.716115051,0.25394011,0.354607978,0.571091909,0.880958498,-0.640736234,41.34590874,58.65409126,1.418618989,43.3898,0.4785,10.5693,104.5,4.289,-0.21,1.024,0.679,0.321,0.47,119.2
1.01,0.951,-1.324,55.04116875,54.67,32.85,12.48,5,1.52058437,3.288209519,4.380608974,2.632211538,0.600877995,0.228278763,0.379908676,0.489203276,0.738343946,-1.265697811,36.02484472,63.97515528,1.775862069,44.6955,0.528,11.2963,,,,,,,,
1.06,0.873,-1.325,56.56175313,52.89,34.73,12.385,5,1.52058438,3.288209497,4.270488494,2.804198627,0.656645869,0.234165249,0.35660812,0.532056683,0.904223085,-0.559143085,39.30131004,60.69868996,1.544444445,43.2817,0.4536,10.3987,97.29,4.688,-0.234,0.935,0.653,0.347,0.53,117.1
1.11,0.944,-1.27,58.0823375,51.11,36.61,12.29,5,1.52058437,3.288209519,4.158665582,2.978844589,0.71629818,0.240461749,0.335700628,0.577444795,0.719113597,-0.553263807,38.00444868,61.99555132,1.631270903,43.7117,0.416,10.6181,92.79,4.968,-0.234,0.894,0.637,0.363,0.57,112.2
1.16,0.797,-1.303,59.60292188,52.68666667,35.2,12.11666667,5,1.52058438,3.288209497,4.348280604,2.905089408,0.668100721,0.229975959,0.344223485,0.543181935,1.145674997,-0.591157956,33.59830419,66.40169581,1.976340694,43.0846,0.4527,10.3689,81.96,5.097,-0.16,0.873,0.589,0.411,0.7,90.6
1.21,1.05,-1.162,61.12350625,54.26333333,33.79,11.94333333,5,1.52058437,3.288209519,4.543399387,2.829193414,0.622704097,0.220099515,0.35345763,0.510371564,0.986413297,-0.886227842,30.64171123,69.35828877,2.263525305,44.579,0.5848,10.3506,128.2,5.046,-0.341,0.854,0.687,0.313,0.46,176.1
1.26,0.704,-1.175,62.64409063,55.84,32.38,11.77,5,1.52058438,3.288209497,4.744265081,2.751062022,0.57987106,0.210780802,0.363495985,0.478923236,1.371940066,-0.875019074,35.78834465,64.21165535,1.794205795,46.0358,0.3891,11.4732,118.8,5.369,-0.278,0.842,0.671,0.329,0.49,154.9
1.31,0.663,-1.149,64.164675,56.04,32.15,11.81,5,1.52058437,3.288209519,4.745131245,2.722269263,0.573697359,0.210742327,0.367340591,0.473839352,0.987251087,-0.724290804,35.56448014,64.43551986,1.811794229,,,,125.3,4.747,-0.263,0.919,0.698,0.302,0.43,153.9
1.36,1.203,-1.487,65.68525938,56.24,31.92,11.85,5,1.52058438,3.288209497,4.745991561,2.693670886,0.567567568,0.210704125,0.371240602,0.468791306,1.132872035,-0.782980404,39.2599869,60.7400131,1.547122602,47.9122,0.2687,12.3007,96.31,5.1,-0.241,0.844,0.634,0.366,0.58,117.2
1.41,0.722,-1.3,67.20584375,55.285,33.045,11.67,5,1.52058437,3.288209519,4.737360754,2.831619537,0.597720901,0.211087999,0.353154789,0.493540438,0.956887213,-1.063056803,41.97633382,58.02366618,1.382294758,44.7796,0.3597,11.2411,152,5.008,-0.355,0.859,0.712,0.288,0.4,210.9
1.46,0.91,-1.048,68.72642813,54.33,34.17,11.49,5,1.52058438,3.288209497,4.72845953,2.973890339,0.62893429,0.211485367,0.336259877,0.519143118,0.78333939,-0.760242443,43.42808894,56.57191106,1.302657161,49.1264,0.097,12.1485,143.3,5.039,-0.358,0.889,0.71,0.29,0.41,200.7
1.51,0.711,-1.432,70.2470125,58.775,29.74,11.48,5,1.52058437,3.288209519,5.119773519,2.590592334,0.505997448,0.19532114,0.386012105,0.423315067,1.253169922,-0.908458793,21.17826308,78.82173692,3.721822541,48.5076,0.1848,12.2456,97.16,5.231,-0.231,0.825,0.629,0.371,0.59,117.5
