depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
11.21,,25.83,67.86,25.06,7.07,34.62,,,,,,,,4.45,5.32,5.03,7.06,9.19,69.57,50.98,15.09,6.07,9.18,18.68,-1.469,0.813,1.099463218,-1.320127669,53.4124,0.4265,14.044,82.25,5.15,0.194,0.788,60.53
11.26,,25.83,70.91,21.99,7.1,34.41,,,,,,,,4.1,4.21,4.1,5.92,7.53,75.21,,,,,,-1.118,0.844,0.54800511,-1.327892079,54.1196,0.5556,14.5497,,,,,
11.31,,25.83,72.43,20.63,6.94,34.64,,,,,,,,3.19,3.15,3.19,4.38,6.8,79.88,68.29,4.45,0,8.09,19.17,-1.468,0.947,0.689556065,-1.687076188,53.4869,0.461,14.2906,60.56,5.873,0.348,0.671,36.14
11.36,,25.83,68.87,23.94,7.18,35.63,0.52,2.47,94.53,11.64,0.46,0.04,93.09,5.49,5.78,5.54,7.87,9.03,66.29,,,,,,-1.59,0.727,,,53.3115,0.4602,14.2452,,,,,
11.41,,25.83,71.78,21.2,7.02,33.29,,,,,,,,2.36,2.88,2.95,4.44,6.55,81.28,81.51,15.29,3.19,0,0,-1.113,0.908,1.018562806,-1.659811982,52.0968,0.2913,12.6828,26.45,2.534,-0.122,0.859,29.26
11.46,,25.83,70.96,21.28,7.76,33.67,,,,,,,,3.3,3.21,3.3,4.57,6.9,79.46,,,,,,-1.34,0.588,0.902173645,-1.190473145,,,,,,,,
11.51,,25.83,69.53,22.3,8.17,32.69,,,,,,,,7,5.06,5.28,5.58,6.52,71.16,57.46,10.42,5.32,12.85,13.95,-1.704,0.885,0.878590855,-1.926991243,,,,64.49,5.065,0.204,0.72,47.83
11.56,,25.83,69.57,21.64,8.79,34.31,0.5,2.58,93.36,11.71,0.48,0.05,93.52,2.8,2.68,3.05,3.96,5.3,80.2,,,,,,-1.36,0.857,,,51.0716,0.1917,12.3761,,,,,
11.61,,25.83,70.17,21.08,8.75,34.87,,,,,,,,3.06,3.93,4.06,4.84,6.71,78.19,84.04,13.21,2.74,0,0,-1.533,0.815,0.785509889,-1.725310943,51.1232,0.4657,12.7855,25.2,2.472,-0.127,0.855,27.98
11.66,,25.83,69.78,20.9,9.32,34.73,,,,,,,,2.74,3.83,4.45,5.68,6.43,77.77,,,,,,-1.448,0.932,0.713645311,-1.980817873,51.1682,0.4336,12.886,,,,,
